"achievement.lovemesseger.common1.title" : "Love Magic"
"achievement.lovemesseger.common1.goal" : "招募成功一次"
"achievement.lovemesseger.common1.cond" : "提示：招募成功一次且不自杀"
"achievement.lovemesseger.common1.splitted.0" : "魔法Magical"

"achievement.lovemesseger.another1.title" : "Champagne! But whose is it?"
"achievement.lovemesseger.another1.goal" : "驱逐被感化的小丑"
"achievement.lovemesseger.another1.cond" : "提示：将爱心传递给小丑并且在会议上驱逐他"

"achievement.lovemesseger.another2.title" :  "OMG...is monster."
"achievement.lovemesseger.another2.goal" :  "对无法感化的特殊阵营使用技能。"
"achievement.lovemesseger.another2.cond" : "提示：招募到伪装者并自杀"
"achievement.lovemesseger.another2.flavor" : "”再无第二人了” -一声轻轻的叹息"
"achievement.lovemesseger.another2.splitted.1" : "哀叹Lamenting"

"achievement.lovemesseger.another3.title" : "Smell of being in love?"
"achievement.lovemesseger.another3.goal" :  "感化魅魔。"
"achievement.lovemesseger.another3.cond" : "提示：感化魅魔但是结算魅魔胜利"

"achievement.lovemesseger.challenge1.title" : "Good puppy"
"achievement.lovemesseger.challenge1.goal" : "将豺狼感化"
"achievement.lovemesseger.challenge1.cond" : "提示：技能传递爱心对豺狼使用"
"achievement.lovemesseger.challenge1.flavor" : "“变友善的魔法哦！”"
"achievement.lovemesseger.challenge1.splitted.2" : "魔法使Magic Maiden"

"achievement.lovemesseger.challenge2.title" : "We need peace"
"achievement.lovemesseger.challenge2.goal" : "在人数少于五人时，通过传递爱心胜利"
"achievement.lovemesseger.challenge2.cond" : "提示：在人数少于五人时，爱心使招募到豺狼且船员获胜"
"achievement.lovemesseger.challenge2.splitted.1" : "微笑Smiling"

"achievement.knight.common1.title" : "I am justice"
"achievement.knight.common1.goal" : "使用一次击杀"
"achievement.knight.common1.cond" : ""
"achievement.knight.common1.splitted.0" : "执行"

"achievement.knight.common2.title" : "The aura of conspiracy"
"achievement.knight.common2.goal" : "击杀邪恶阵营"
"achievement.knight.common2.cond" : "提示：击杀任意一个第三方阵营或内鬼阵营"

"achievement.knight.another1.title" : "The fighting begins"
"achievement.knight.another1.goal" : "击杀警长"
"achievement.knight.another1.cond" : ""
"achievement.knight.another1.splitted.0" : "伪善 Hypocritical"

"achievement.knight.another2.title" : "I need a spotlight"
"achievement.knight.another2.goal" : "击杀市长"
"achievement.knight.another2.cond" : ""

"achievement.knight.challenge1.title" : "Cut the grass and remove the roots"
"achievement.knight.challenge1.goal" : "击杀跟班"
"achievement.knight.challenge1.cond" : ""

"achievement.speechEater.common1.title" : "I hate noise"
"achievement.speechEater.common1.goal" : "勒索一次"
"achievement.speechEater.common1.cond" : ""
"achievement.speechEater.common1.splitted.0" : "杂音Noisy"

"achievement.speechEater.common2.title" : "Loose lips sink ships"
"achievement.speechEater.common2.goal" : "勒索一次队友"
"achievement.speechEater.common2.cond" : ""

"achievement.speechEater.another1.title" : "In a fluster"
"achievement.speechEater.another1.goal" : "勒索别人期间自己赌错自杀"
"achievement.speechEater.another1.cond" : ""
"achievement.speechEater.another2.title" : "有点手忙脚乱了"
"achievement.speechEater.another2.goal" : "勒索别人期间自己赌错自杀"
"achievement.speechEater.another2.cond" : ""

"achievement.speechEater.challenge1.title" : "Keep quiet forever"
"achievement.speechEater.challenge1.goal" :  "在会议上赌杀被噬言的人"
"achievement.speechEater.challenge1.cond" : ""
"achievement.speechEater.challenge1.flavor" : "”你会保守秘密的，对吧？” -身后的声音这样说到"
"achievement.speechEater.challenge1.splitted.0" : "没有秘密Non-secret"

"achievement.seluch.another1.title" : "Seems like killed a good person"
"achievement.seluch.another1.goal" : "报告灵化使的尸体"
"achievement.seluch.another1.cond" : ""
"achievement.seluch.another1.splitted.2" : "你you"

"achievement.seluch.another2.title" : "Good news from the underworld!"
"achievement.seluch.another2.goal" : "报告诱饵的尸体"
"achievement.seluch.another2.cond" : ""

"achievement.doomsayer.common1.title" : "Apocalypse has arrived"
"achievement.doomsayer.common1.goal" : "通过末日赌怪获胜"
"achievement.doomsayer.common1.cond" : ""
"achievement.doomsayer.common1.splitted.1" : "灾难Disastrous"

"achievement.doomsayer.challenge1.title" : "Cash'n Guns♪"
"achievement.doomsayer.challenge1.goal" : "赌杀三名伪装者并获得胜利"
"achievement.doomsayer.challenge1.cond" : ""
"achievement.doomsayer.challenge1.splitted.1" : "达成Achieving"

"achievement.doomsayer.another1.title" : "I really don't like you"
"achievement.doomsayer.another1.goal" : "连续两轮会议错误猜测同一名玩家"
"achievement.doomsayer.another1.cond" : ""
"achievement.doomsayer.another1.splitted.1" : "不顺眼的Objectionable"

"achievement.justicePlus.common1.title" : "Listen to me!"
"achievement.justicePlus.common1.goal" : "发起一次特殊会议。"
"achievement.justicePlus.common1.cond" : ""

"achievement.justicePlus.challenge1.title" : "Judgment, deeply guilty"
"achievement.justicePlus.challenge1.goal" : "四个非船员阵营的玩家进入法庭，且放逐至少两名玩家。"
"achievement.justicePlus.challenge1.cond" : ""

"achievement.justicePlus.another1.title" : "I don't want to be with him"
"achievement.justicePlus.another1.goal" : "第一轮会议上发起单人会议驱逐一名玩家。"
"achievement.justicePlus.another1.cond" : ""
"achievement.justicePlus.another1.splitted.1" : "你的Your"

"achievement.justicePlus.another2.title" : "The judgment has deviated"
"achievement.justicePlus.another2.goal" : "特殊会议上四名玩家中有三名伪装者，但被驱逐的为非伪装者阵营。"
"achievement.justicePlus.another2.cond" : ""
"achievement.justicePlus.another2.splitted.1" : "出现偏差的Abnormal"

"achievement.swapper.common1.title" : "Cheer for me"
"achievement.swapper.common1.goal" : "交换伪装者和船员的得票且该伪装者被驱逐"
"achievement.swapper.common1.cond" : ""

"achievement.swapper.another1.title" : "Obtained the opposite future"
"achievement.swapper.another1.goal" : "进行换票后自己被驱逐"
"achievement.swapper.another1.cond" : ""
"achievement.swapper.another1.splitted.2" : "没有未来Non-Future"

"achievement.swapper.another2.title" : "Oh my god!"
"achievement.swapper.another2.goal" : "交换伪装者和小丑的得票且小丑获得胜利"
"achievement.swapper.another2.cond" : ""
"achievement.swapper.another2.flavor" : "我的天啊！全都搞错了！"

"achievement.knighted.common1.title" : "Offering my loyalty"
"achievement.knighted.common1.goal" : "效忠一名玩家"
"achievement.knighted.common1.cond" : ""
"achievement.knighted.common1.splitted.0" : "献上Offering"

"achievement.knighted.common2.title" : "Follow in your footsteps"
"achievement.knighted.common2.goal" : "主公是伪装者时，击杀一名船员并获胜。"
"achievement.knighted.common2.cond" : ""

"achievement.knighted.common3.title" : "Love Defense Officer"
"achievement.knighted.common3.goal" : "主公为恋人的情况下跟随获胜。"
"achievement.knighted.common3.cond" : ""

"achievement.knighted.common4.title" : "Long term loneliness"
"achievement.knighted.common4.goal" : "主公前两轮死亡的情况下，存活到最后并跟随胜利。"
"achievement.knighted.common4.cond" : ""
"achievement.knighted.common4.splitted.0" : "守候Guardian"

"achievement.knighted.challenge1.title" : "I will follow you for a long, long time"
"achievement.knighted.challenge1.goal" : "跟随第三方阵营的主公获得胜利。"
"achievement.knighted.challenge1.cond" : ""

"achievement.knighted.another1.title" : "This is one of the plans"
"achievement.knighted.another1.goal" : "击杀了主公的情况下跟随主公阵营获胜。"
"achievement.knighted.another1.cond" : ""
"achievement.knighted.another1.splitted.2" : "达成共鸣Resonance"

"achievement.soulrefiner.common1.title" : "Final Destination"
